Name,_RA,_DE,Vmag,e_Vmag,plx,e_plx,r_plx,Bin,SNR,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Xi,e_Xi,__CI_H_,__CH_H_,__OI_H_,__NaI_H_,__MgI_H_,__AlI_H_,__SiI_H_,__SI_H_,__CaI_H_,__ScI_H_,__ScII_H_,__TiI_H_,__TiII_H_,__VI_H_,__CrI_H_,__CrII_H_,__MnI_H_,__CoI_H_,__NiI_H_,__CuI_H_,__ZnI_H_,Agemp,AgeLL1s,AgeUL1s,AgeLL2s,AgeUL2s,Agemean,Agestd,Massmp,MassLL1s,MassUL1s,MassLL2s,MassUL2s,MassMean,MassStd,__SrI_H_,e__SrI_H_,__YII_H_,e__YII_H_,__ZrII_H_,e__ZrII_H_,__BaII_H_,e__BaII_H_,__LaII_H_,e__LaII_H_,__CeII_H_,e__CeII_H_,__PrII_H_,e__PrII_H_,__NdII_H_,e__NdII_H_,__SmII_H_,e__SmII_H_,__EuII_H_,e__EuII_H_,__GdII_H_,e__GdII_H_,__DyII_H_,e__DyII_H_
HIP54102,166.05688,-57.76513,8.67,0.014,18.82,0.24,Gaia,Spectroscopic,500,5845,6,4.51,0.01,0.011,0.005,1.06,0.01,-0.067,-0.047,-0.011,-0.074,-0.027,-0.048,-0.018,-0.024,0.029,0.006,-0.037,0.013,-0.006,0.002,0.022,0.018,-0.023,-0.042,-0.041,-0.081,-0.075,0.7,0.3,1.1,0.1,1.6,0.7,0.4,1.05,1.042,1.064,1.032,1.069,1.047,0.005,0.104,0.007,0.093,0.012,0.105,0.012,0.166,0.008,0.115,0.025,0.153,0.012,0.203,0.009,0.176,0.009,0.106,0.027,0.115,0.012,0.096,0.006,0.074,0.007
HIP54287,166.58227,-44.37332,7.223,0.008,30.91,0.28,Gaia,no,1600,5714,4,4.34,0.012,0.107,0.004,0.99,0.01,0.067,0.06,0.092,0.119,0.147,0.169,0.122,0.095,0.121,0.118,0.156,0.133,0.13,0.129,0.113,0.112,0.112,0.127,0.13,0.147,0.1,6.5,6.1,6.8,5.8,7.1,6.5,0.3,1.02,1.013,1.031,1.01,1.046,1.024,0.005,0.093,0.006,0.077,0.008,0.069,0.013,0.062,0.008,0.051,0.033,0.061,0.018,0.12,0.011,0.066,0.01,0.076,0.011,0.101,0.005,0.109,0.006,0.072,0.019
HIP54582,167.5556,-7.3894,6.808,0.008,30.61,0.39,Gaia,Spectroscopic,1400,5883,5,4.28,0.014,-0.096,0.004,1.2,0.01,-0.075,-0.128,-0.052,-0.126,-0.045,-0.067,-0.071,-0.097,-0.068,-0.068,-0.056,-0.072,-0.058,-0.094,-0.111,-0.094,-0.158,-0.096,-0.119,-0.095,-0.137,6.9,6.6,7.2,6.3,7.5,6.9,0.3,1.03,1.023,1.038,1.02,1.056,1.034,0.005,-0.194,0.005,-0.214,0.01,-0.167,0.015,-0.12,0.009,-0.103,0.033,-0.072,0.02,0.034,0.01,-0.033,0.01,-0.042,0.013,-0.005,0.013,-0.054,0.006,-0.015,0.043
HIP62039,190.74719,-4.04933,7.817,0.009,21.45,0.82,Hipparcos,Spectroscopic,800,5742,3,4.34,0.01,0.104,0.003,1.02,0.01,0.094,0.079,0.132,0.122,0.143,0.153,0.116,0.131,0.107,0.108,0.152,0.128,0.134,0.116,0.106,0.116,0.105,0.116,0.12,0.151,0.152,6.2,5.9,6.6,5.6,6.9,6.2,0.3,1.04,1.033,1.056,1.03,1.067,1.04,0.002,0.045,0.005,0.045,0.008,0.046,0.016,0.06,0.007,0.044,0.026,0.072,0.016,0.129,0.019,0.08,0.01,0.089,0.018,0.138,0.006,0.119,0.005,0.104,0.01
HIP6407,20.57801,3.51313,8.574,0.014,15.97,0.84,Gaia,Spectroscopic,300,5775,7,4.505,0.013,-0.058,0.006,0.98,0.01,-0.067,-0.087,-0.036,-0.11,-0.072,-0.087,-0.079,0,-0.038,-0.036,-0.082,-0.047,-0.062,-0.054,-0.052,-0.046,-0.097,-0.083,-0.1,-0.118,-0.104,1.9,1.2,2.6,0.7,3.3,1.9,0.7,1,0.993,1.012,0.99,1.026,1.004,0.005,0.012,0.008,0.006,0.009,0.054,0.012,0.068,0.01,0.082,0.067,0.093,0.016,0.159,0.021,0.087,0.011,0.006,0.032,0.068,0.012,0.012,0.007,0.057,0.072
HIP64150,197.2126,5.20724,6.776,0.008,37.95,0.87,Hipparcos,Spectroscopic,1100,5747,2,4.37,0.008,0.049,0.003,1.02,0.01,0.072,0.051,0.071,0.074,0.099,0.082,0.063,0.059,0.054,0.053,0.071,0.06,0.063,0.054,0.048,0.064,0.046,0.063,0.053,0.116,0.096,6.4,6.1,6.7,5.8,7.1,6.5,0.3,1.01,1.003,1.027,0.998,1.038,1.01,0.002,0.408,0.006,0.316,0.011,0.287,0.005,0.144,0.01,0.139,0.012,0.128,0.015,0.169,0.007,0.122,0.008,0.089,0.008,0.09,0.006,0.081,0.003,0.099,0.009
HIP64673,198.83547,-55.34159,8.336,0.01,13.85,0.52,Gaia,no,700,5912,5,4.29,0.014,-0.017,0.004,1.2,0.01,0.055,0.006,0.034,0.024,0.013,0.016,0.007,0.001,-0.014,-0.01,0.022,-0.014,-0.005,-0.017,-0.03,-0.017,-0.034,0.009,-0.014,0.015,-0.013,6,5.6,6.4,5.3,6.7,6,0.4,1.07,1.061,1.078,1.052,1.089,1.068,0.006,-0.084,0.005,-0.11,0.009,-0.094,0.018,-0.048,0.008,-0.082,0.006,-0.03,0.019,0.098,0.011,-0.01,0.01,-0.021,0.018,0.092,0.011,-0.051,0.019,0.015,0.028
HIP64713,198.94745,-29.50588,9.196,0.023,12.76,0.31,Gaia,no,500,5788,4,4.435,0.013,-0.043,0.003,1,0.01,-0.062,-0.068,-0.018,-0.06,-0.037,-0.047,-0.042,-0.04,-0.025,-0.035,-0.05,-0.034,-0.042,-0.047,-0.045,-0.038,-0.062,-0.049,-0.058,-0.059,-0.07,5.3,4.7,5.8,4.1,6.3,5.3,0.6,0.99,0.982,1.004,0.974,1.009,0.989,0.005,-0.027,0.005,-0.036,0.008,-0.022,0.009,-0.02,0.007,-0.009,0.02,-0.008,0.013,0.076,0.01,0.022,0.011,-0.017,0.024,0.072,0.013,-0.029,0.009,0,0.05
HIP65708,202.07796,-0.84019,7.426,0.008,23.14,0.42,Gaia,Spectroscopic,500,5746,5,4.22,0.012,-0.063,0.005,1.12,0.01,0.024,-0.036,0.109,-0.054,0.05,0.06,0,0.011,-0.011,0.005,0.027,0.027,0.035,-0.02,-0.066,-0.051,-0.133,-0.031,-0.07,-0.008,0.013,9,8.7,9.3,8.4,9.5,9,0.3,1.01,1.002,1.027,0.994,1.057,1.009,0.004,-0.148,0.007,-0.144,0.009,-0.108,0.013,-0.089,0.008,-0.019,0.006,-0.022,0.016,0.121,0.009,0.04,0.007,0.042,0.01,0.091,0.009,0.071,0.006,0.066,0.012
HIP68468,210.26504,-32.75695,9.366,0.025,10.68,0.71,Gaia,no,600,5845,5,4.33,0.013,0.071,0.004,1.1,0.01,0.022,0.036,0.087,0.099,0.116,0.122,0.092,0.053,0.082,0.103,0.135,0.093,0.108,0.085,0.066,0.084,0.062,0.098,0.083,0.112,0.095,5.5,5.1,5.8,4.8,6.2,5.5,0.3,1.06,1.053,1.07,1.05,1.12,1.064,0.006,0.012,0.006,0.019,0.008,0.031,0.008,0.041,0.005,0.002,0.029,0.062,0.02,0.132,0.013,0.091,0.008,0.071,0.015,0.132,0.016,0.114,0.006,0.096,0.032
